id,farm_id,location_id,metric_code,value,status,quality_score,recorded_at,created_at
78,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0370,normal,1.00,2025-03-17 00:00:00+00,2025-08-09 06:58:58.765837+00
79,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0710,normal,1.00,2025-03-18 00:00:00+00,2025-08-09 06:58:58.765837+00
80,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0450,normal,1.00,2025-03-19 00:00:00+00,2025-08-09 06:58:58.765837+00
81,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9620,normal,1.00,2025-03-20 00:00:00+00,2025-08-09 06:58:58.765837+00
82,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9040,normal,1.00,2025-03-21 00:00:00+00,2025-08-09 06:58:58.765837+00
83,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8300,normal,1.00,2025-03-22 00:00:00+00,2025-08-09 06:58:58.765837+00
84,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8980,normal,1.00,2025-03-23 00:00:00+00,2025-08-09 06:58:58.765837+00
85,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8880,normal,1.00,2025-03-24 00:00:00+00,2025-08-09 06:58:58.765837+00
86,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9330,normal,1.00,2025-03-25 00:00:00+00,2025-08-09 06:58:58.765837+00
87,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8760,normal,1.00,2025-03-26 00:00:00+00,2025-08-09 06:58:58.765837+00
88,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9070,normal,1.00,2025-03-27 00:00:00+00,2025-08-09 06:58:58.765837+00
89,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9060,normal,1.00,2025-03-28 00:00:00+00,2025-08-09 06:58:58.765837+00
90,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9000,normal,1.00,2025-03-29 00:00:00+00,2025-08-09 06:58:58.765837+00
91,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8330,normal,1.00,2025-03-30 00:00:00+00,2025-08-09 06:58:58.765837+00
92,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8540,normal,1.00,2025-03-31 00:00:00+00,2025-08-09 06:58:58.765837+00
93,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8610,normal,1.00,2025-04-01 00:00:00+00,2025-08-09 06:58:58.765837+00
94,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8460,normal,1.00,2025-04-02 00:00:00+00,2025-08-09 06:58:58.765837+00
95,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.7160,normal,1.00,2025-04-03 00:00:00+00,2025-08-09 06:58:58.765837+00
96,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9900,normal,1.00,2025-04-04 00:00:00+00,2025-08-09 06:58:58.765837+00
97,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0120,normal,1.00,2025-04-05 00:00:00+00,2025-08-09 06:58:58.765837+00
98,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0280,normal,1.00,2025-04-06 00:00:00+00,2025-08-09 06:58:58.765837+00
99,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0290,normal,1.00,2025-04-07 00:00:00+00,2025-08-09 06:58:58.765837+00
100,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0500,normal,1.00,2025-04-08 00:00:00+00,2025-08-09 06:58:58.765837+00
101,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0250,normal,1.00,2025-04-09 00:00:00+00,2025-08-09 06:58:58.765837+00
102,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0770,normal,1.00,2025-04-10 00:00:00+00,2025-08-09 06:58:58.765837+00
103,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0440,normal,1.00,2025-04-11 00:00:00+00,2025-08-09 06:58:58.765837+00
104,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1170,normal,1.00,2025-04-12 00:00:00+00,2025-08-09 06:58:58.765837+00
105,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0920,normal,1.00,2025-04-13 00:00:00+00,2025-08-09 06:58:58.765837+00
106,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0790,normal,1.00,2025-04-14 00:00:00+00,2025-08-09 06:58:58.765837+00
107,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0370,normal,1.00,2025-04-15 00:00:00+00,2025-08-09 06:58:58.765837+00
